VisualDistractionTrials.thisRepN,VisualDistractionTrials.thisTrialN,VisualDistractionTrials.thisN,VisualDistractionTrials.thisIndex,VisualAndAudioDistractor.thisRepN,VisualAndAudioDistractor.thisTrialN,VisualAndAudioDistractor.thisN,VisualAndAudioDistractor.thisIndex,AudioDistractorFiles.thisRepN,AudioDistractorFiles.thisTrialN,AudioDistractorFiles.thisN,AudioDistractorFiles.thisIndex,IntroText.started,IntroText.stopped,next_screen1.keys,next_screen1.rt,next_screen1.started,next_screen1.stopped,FixationCrossText.started,FixationCrossText.stopped,Condition,p_Target_2.started,p_Target_2.stopped,b_Target_2.started,b_Target_2.stopped,p_Distractor_2.started,p_Distractor_2.stopped,b_Distractor_2.started,b_Distractor_2.stopped,g_Distractor_2.started,g_Distractor_2.stopped,h_Filler_2.started,h_Filler_2.stopped,l_Filler_2.started,l_Filler_2.stopped,y_filler_2.started,y_filler_2.stopped,Response,Response_code,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,whiteimage_2.started,whiteimage_2.stopped,Faster.started,Faster.stopped,happy.started,happy.stopped,sad.started,sad.stopped,Pause_Text.started,Pause_Text.stopped,next_screen1_2.keys,next_screen1_2.rt,next_screen1_2.started,next_screen1_2.stopped,p_Target.started,p_Target.stopped,b_Target.started,b_Target.stopped,p_Distractor.started,p_Distractor.stopped,b_Distractor.started,b_Distractor.stopped,g_Distractor.started,g_Distractor.stopped,h_Filler.started,h_Filler.stopped,l_Filler.started,l_Filler.stopped,y_filler.started,y_filler.stopped,p_Dis_Sound.started,p_Dis_Sound.stopped,b_Dis_Sound.started,b_Dis_Sound.stopped,g_Dis_Sound.started,g_Dis_Sound.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,whiteimage.started,whiteimage.stopped,p_Target_3.started,p_Target_3.stopped,b_Target_3.started,b_Target_3.stopped,h_Filler_3.started,h_Filler_3.stopped,l_Filler_3.started,l_Filler_3.stopped,y_filler_3.started,y_filler_3.stopped,p_Dis_Sound_2.started,p_Dis_Sound_2.stopped,b_Dis_Sound_2.started,b_Dis_Sound_2.stopped,g_Dis_Sound_2.started,g_Dis_Sound_2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.started,mouse_3.stopped,whiteimage_3.started,whiteimage_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,63.019536899999366,None,return,1.133902700006729,63.019536899999366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
0,0,0,0,,,,,,,,,,,,,,,64.16914949999773,None,Neutral,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,65.17409220000263,65.39659469999606,Incorrect,2.0,"[0.009722223, 0.009027778]","[-0.077083334, -0.077083334]","[0, 1]","[0, 0]","[1, 0]","[0.4490227999922354, 0.5660441999934847]",0.011574990014196374,None,65.38921580000897,None,70.41946070000995,None,70.41946070000995,None,70.41946070000995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
1,0,1,0,,,,,,,,,,,,,,,70.87169820000418,None,Incongruent,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,71.88796560000628,72.09412900000461,Correct,1.0,[0.03125],[-0.094444446],[0],[0],[1],[0.46656570000050124],0.012614490013220347,None,72.06080479999946,None,77.11425660000532,None,77.11425660000532,None,77.11425660000532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
2,0,2,0,,,,,,,,,,,,,,,77.5736018000025,None,Incongruent,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,78.58690300000308,78.79687390000618,Correct,1.0,[0.03125],[-0.094444446],[0],[0],[1],[0.5532031000038842],0.013559989994973876,None,78.76343140000245,None,83.83055729999614,None,83.83055729999614,None,83.83055729999614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
3,0,3,0,,,,,,,,,,,,,,,84.27629130000423,None,Neutral,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,85.29223740000452,85.49911279999651,Correct,1.0,[0.03125],[-0.094444446],[1],[0],[0],[0.635894000006374],0.012767190011800267,None,85.46574710001005,None,90.52469839999685,None,90.52469839999685,None,90.52469839999685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
4,0,4,0,,,,,,,,,,,,,,,90.97859590000007,None,Neutral,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,91.98750289999589,92.20153550000396,Correct,1.0,[0.03125],[-0.09375],[0],[0],[1],[0.5021007000032114],0.014096190017880872,None,92.16813810000895,None,97.22085060000245,None,97.22085060000245,None,97.22085060000245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
5,0,5,0,,,,,,,,,,,,,,,97.68083720000868,None,Congruent,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,98.6920642000041,98.90359750000061,Correct,1.0,[0.03125],[-0.09375],[1],[0],[0],[0.5534054000017932],0.013523090005037375,None,98.87041260000842,None,103.93039829999907,None,103.93039829999907,None,103.93039829999907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
6,0,6,0,,,,,,,,,,,,,,,104.3829587000073,None,Neutral,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,105.39716970000882,105.60604410000087,Correct,1.0,[0.03125],[-0.09375],[0],[0],[1],[0.4511118000082206],0.01269869001407642,None,105.57274080000934,None,110.62006620000466,None,110.62006620000466,None,110.62006620000466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
7,0,7,0,,,,,,,,,,,,,,,111.08557300000393,None,Congruent,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,112.09885589999612,112.30853330000537,None,0.0,[],[],[],[],[],[],0.01351199000782799,None,112.27489820000483,None,117.31951040000422,None,117.31951040000422,None,117.31951040000422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
8,0,8,0,,,,,,,,,,,,,,,117.77090060000774,None,Incongruent,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,118.78379380000115,118.99392360000638,Correct,1.0,[0.03125],[-0.093055554],[1],[0],[0],[0.5865328999934718],0.014035489992238581,None,118.96051530000113,None,124.02042960000108,None,124.02042960000108,None,124.02042960000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2022-07-13_15h09.51.393,SelectiveAttentionTest,2022.1.3,59.91267128622715,
