VisualDistractionTrials.thisRepN,VisualDistractionTrials.thisTrialN,VisualDistractionTrials.thisN,VisualDistractionTrials.thisIndex,IntroText.started,IntroText.stopped,FixationCrossText.started,FixationCrossText.stopped,Condition,p_Target.started,p_Target.stopped,b_Target.started,b_Target.stopped,p_Distractor.started,p_Distractor.stopped,b_Distractor.started,b_Distractor.stopped,g_Distractor.started,g_Distractor.stopped,h_Filler.started,h_Filler.stopped,l_Filler.started,l_Filler.stopped,y_filler.started,y_filler.stopped,Middle_Dot.started,Middle_Dot.stopped,Response,Response_code,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,blackimage.started,blackimage.stopped,Faster.started,Faster.stopped,happy.started,happy.stopped,sad.started,sad.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,16.89200079999864,None,20.905773000005865,None,Neutral,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,21.923632899997756,None,Correct,1.0,[0.075],[0.025],[1],[0],[0],[0.3533336000109557],0.014482059981673956,None,22.139333300001454,None,22.50447690000874,None,22.50447690000874,None,22.50447690000874,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
1,0,1,0,,,23.011765800009016,None,Congruent,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,24.025972000003094,None,Incorrect,2.0,[0.075],[0.025],[0],[0],[1],[0.30393029999686405],0.014870859973598272,None,24.234686699986923,None,24.577925199992023,None,24.577925199992023,None,24.577925199992023,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
2,0,2,0,,,25.084105499990983,None,Incongruent,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,26.08974940000917,None,Correct,1.0,[0.075],[0.025],[1],[0],[0],[0.38655359999393113],0.014775560004636645,None,26.30711560000782,None,26.729680599994026,None,26.729680599994026,None,26.729680599994026,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
3,0,3,0,,,27.240337600000203,None,Incongruent,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,28.253371600003447,None,Correct,1.0,[0.05277778],[-0.018055556],[0],[0],[1],[0.23660049997852184],0.014641260000644252,None,28.463161699997727,None,28.727045100007672,None,28.727045100007672,None,28.727045100007672,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
4,0,4,0,,,29.229332699993392,None,Incongruent,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,30.232146700000158,None,Correct,1.0,[0.05138889],[-0.027083334],[1],[0],[0],[0.41902010000194423],0.014173960022162646,None,30.4356262999936,None,30.88873489998514,None,30.88873489998514,None,30.88873489998514,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
5,0,5,0,,,31.402091299998574,None,Congruent,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,32.41655510000419,None,Correct,1.0,[0.05138889],[-0.027083334],[0],[0],[1],[0.32071479997830465],0.01495266004349105,None,32.62510609999299,None,32.965835000009974,None,32.965835000009974,None,32.965835000009974,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
6,0,6,0,,,33.4750117000076,None,Neutral,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,34.48119299998507,None,Correct,1.0,[0.048611112],[-0.027083334],[1],[0],[0],[0.3353661999863107],0.014069160009967163,None,34.69766599999275,None,35.061194399982924,None,35.061194399982924,None,35.061194399982924,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
7,0,7,0,,,35.56381669998518,None,Neutral,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,36.57682779998868,None,Correct,1.0,[0.048611112],[-0.027083334],[0],[0],[1],[0.3534972000052221],0.014630960009526461,None,36.78689699998358,None,37.17627560000983,None,37.17627560000983,None,37.17627560000983,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
8,0,8,0,,,37.68650419998448,None,Congruent,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,38.69529299999704,None,Incorrect,2.0,[0.047222223],[-0.030555556],[1],[0],[0],[0.253917599999113],0.014979059982579201,None,38.90962570000556,None,39.18535549999797,None,39.18535549999797,None,39.18535549999797,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
9,0,9,0,,,39.692307299992535,None,Incongruent,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,40.694699999992736,None,Correct,1.0,[0.052083332],[-0.029861111],[0],[0],[1],[0.31876150000607595],0.014917659980710596,None,40.89800660000765,None,41.22768229999929,None,41.22768229999929,None,41.22768229999929,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
10,0,10,0,,,41.730974799982505,None,Neutral,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,42.734259799995925,None,Incorrect,2.0,[0.052083332],[-0.029861111],[1],[0],[0],[0.28670829997281544],0.014556260022800416,None,42.93752459998359,None,43.262323200004175,None,43.262323200004175,None,43.262323200004175,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
11,0,11,0,,,43.77059209998697,None,Congruent,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,44.781022199982544,None,Incorrect,2.0,[0.052083332],[-0.029861111],[0],[0],[1],[0.20339270000113174],0.015005559980636463,None,44.993392900010804,None,45.23474630000419,None,45.23474630000419,None,45.23474630000419,None,testSub01,001,2022-06-10_08h48.16.890,SelectiveAttentionTest,2022.1.3,59.81855835301294,
