VisualDistractionTrials.thisRepN,VisualDistractionTrials.thisTrialN,VisualDistractionTrials.thisN,VisualDistractionTrials.thisIndex,VisualAndAudioDistractor.thisRepN,VisualAndAudioDistractor.thisTrialN,VisualAndAudioDistractor.thisN,VisualAndAudioDistractor.thisIndex,AudioDistractorFiles.thisRepN,AudioDistractorFiles.thisTrialN,AudioDistractorFiles.thisN,AudioDistractorFiles.thisIndex,IntroText.started,IntroText.stopped,next_screen1.keys,next_screen1.rt,next_screen1.started,next_screen1.stopped,FixationCrossText.started,FixationCrossText.stopped,Condition,p_Target_2.started,p_Target_2.stopped,b_Target_2.started,b_Target_2.stopped,p_Distractor_2.started,p_Distractor_2.stopped,b_Distractor_2.started,b_Distractor_2.stopped,g_Distractor_2.started,g_Distractor_2.stopped,h_Filler_2.started,h_Filler_2.stopped,l_Filler_2.started,l_Filler_2.stopped,y_filler_2.started,y_filler_2.stopped,Response,Response_code,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.started,mouse_2.stopped,whiteimage_2.started,whiteimage_2.stopped,Faster.started,Faster.stopped,happy.started,happy.stopped,sad.started,sad.stopped,Pause_Text.started,Pause_Text.stopped,next_screen1_2.keys,next_screen1_2.rt,next_screen1_2.started,next_screen1_2.stopped,p_Target.started,p_Target.stopped,b_Target.started,b_Target.stopped,p_Distractor.started,p_Distractor.stopped,b_Distractor.started,b_Distractor.stopped,g_Distractor.started,g_Distractor.stopped,h_Filler.started,h_Filler.stopped,l_Filler.started,l_Filler.stopped,y_filler.started,y_filler.stopped,p_Dis_Sound.started,p_Dis_Sound.stopped,b_Dis_Sound.started,b_Dis_Sound.stopped,g_Dis_Sound.started,g_Dis_Sound.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,whiteimage.started,whiteimage.stopped,p_Target_3.started,p_Target_3.stopped,b_Target_3.started,b_Target_3.stopped,h_Filler_3.started,h_Filler_3.stopped,l_Filler_3.started,l_Filler_3.stopped,y_filler_3.started,y_filler_3.stopped,p_Dis_Sound_2.started,p_Dis_Sound_2.stopped,b_Dis_Sound_2.started,b_Dis_Sound_2.stopped,g_Dis_Sound_2.started,g_Dis_Sound_2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.started,mouse_3.stopped,whiteimage_3.started,whiteimage_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,1317.6034957999946,None,return,3.1458145000069635,1317.6034957999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
0,0,0,0,,,,,,,,,,,,,,,1320.7661056999932,None,Incongruent,1321.7839665999927,None,1321.7839665999927,None,1321.7839665999927,None,1321.7839665999927,None,1321.7839665999927,None,1321.7839665999927,None,1321.7839665999927,None,1321.7839665999927,None,Incorrect,2.0,[0.13958333],[-0.39027777],[0],[0],[1],[0.45695639999757987],0.005155690014362335,None,None,None,1322.3145354000008,None,1322.3145354000008,None,1322.3145354000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
1,0,1,0,,,,,,,,,,,,,,,1322.822048499991,None,Incongruent,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,1323.8305025000009,1324.3292949000024,Correct,1.0,[0.1423611],[-0.28125],[1],[0],[0],[0.6197038999962388],0.014058490007300861,None,1324.3149134999985,None,1324.4874740999949,None,1324.4874740999949,None,1324.4874740999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
2,0,2,0,,,,,,,,,,,,,,,1324.9951804000011,None,Incongruent,1326.016860299991,None,1326.016860299991,None,1326.016860299991,None,1326.016860299991,None,1326.016860299991,None,1326.016860299991,None,1326.016860299991,None,1326.016860299991,None,Correct,1.0,[0.16458334],[-0.3],[0],[0],[1],[0.462034100011806],0.010246990001178347,None,None,None,1326.4945430999942,None,1326.4945430999942,None,1326.4945430999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
3,0,3,0,,,,,,,,,,,,,,,1327.0004651999916,None,Neutral,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,1328.0082034999941,1328.507628899999,Correct,1.0,[0.16458334],[-0.3],[0],[0],[1],[0.5355068000062602],0.013396990005276166,None,1328.491146699991,None,1328.5856569000025,None,1328.5856569000025,None,1328.5856569000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
4,0,4,0,,,,,,,,,,,,,,,1329.089930000002,None,Congruent,1330.1068380999932,None,1330.1068380999932,None,1330.1068380999932,None,1330.1068380999932,None,1330.1068380999932,None,1330.1068380999932,None,1330.1068380999932,None,1330.1068380999932,None,Correct,1.0,[0.16458334],[-0.3],[1],[0],[0],[0.500178300004336],0.011508190000313334,None,1330.5804487999994,None,1330.6351064999908,None,1330.6351064999908,None,1330.6351064999908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
5,0,5,0,,,,,,,,,,,,,,,1331.145898399991,None,Congruent,1332.1538807000034,None,1332.1538807000034,None,1332.1538807000034,None,1332.1538807000034,None,1332.1538807000034,None,1332.1538807000034,None,1332.1538807000034,None,1332.1538807000034,None,Incorrect,2.0,[0.16458334],[-0.3],[0],[0],[1],[0.46528679999755695],0.01336669000738766,None,None,None,1332.6417402999941,None,1332.6417402999941,None,1332.6417402999941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
6,0,6,0,,,,,,,,,,,,,,,1333.1511855999997,None,Neutral,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,1334.163155599992,1334.6746697999915,Correct,1.0,[0.16458334],[-0.3],[1],[0],[0],[0.5664963000017451],0.011207090006791987,None,1334.6415679999918,None,1334.7645598999952,None,1334.7645598999952,None,1334.7645598999952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
7,0,7,0,,,,,,,,,,,,,,,1335.274051100001,None,Incongruent,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,1336.2886563999928,1336.7978662999958,Correct,1.0,[0.16458334],[-0.3],[0],[0],[1],[0.5670284000079846],0.011244389999774285,None,1336.7642755999987,None,1336.8973259999912,None,1336.8973259999912,None,1336.8973259999912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
8,0,8,0,,,,,,,,,,,,,,,1337.3965446999937,None,Congruent,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,1338.4045186000003,1338.9036180999974,Correct,1.0,[0.16458334],[-0.3],[0],[0],[1],[0.5699375999975018],0.013876890006940812,None,1338.8871570999909,None,1339.0279329999903,None,1339.0279329999903,None,1339.0279329999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¨12,001,2022-07-13_14h54.04.366,SelectiveAttentionTest,2022.1.3,59.96710204514547,
